Open time,FIROUSDT,DEXEUSDT,ERNUSDT,HARDUSDT,STMXUSDT,DIAUSDT,PNTUSDT,UMAUSDT,SFPUSDT,MLNUSDT,DATAUSDT,PONDUSDT,ANKRUSDT,DENTUSDT,LINAUSDT,SUNUSDT,ARDRUSDT,DOCKUSDT,CTSIUSDT,KMDUSDT,OGNUSDT,SCUSDT,BELUSDT,CELOUSDT,IOTXUSDT,LTOUSDT,OXTUSDT,QTUMUSDT,ZENUSDT,BANDUSDT
2025-09-10 09:00:00,,6.938,,,,0.7518,,1.395,0.4731,8.07,0.01598,0.00845,0.01553,0.000769,,0.02049,0.08594,,0.0797,,0.0646,0.003024,0.253,0.3093,0.02643,,0.0536,2.597,7.505,0.75
2025-09-10 10:00:00,,6.934,,,,0.7562,,1.398,0.4728,8.08,0.01601,0.00848,0.01553,0.000771,,0.02057,0.08617,,0.0797,,0.0646,0.00303,0.2534,0.3101,0.0264,,0.0538,2.598,7.49,0.755
2025-09-10 11:00:00,,6.956,,,,0.7523,,1.387,0.472,8.16,0.01603,0.00852,0.01548,0.000763,,0.02062,0.08644,,0.0795,,0.0646,0.003031,0.2544,0.3078,0.0263,,0.0538,2.589,7.452,0.752
2025-09-10 12:00:00,,6.974,,,,0.752,,1.391,0.4714,8.15,0.01602,0.00859,0.0155,0.000766,,0.02063,0.08676,,0.0791,,0.0653,0.00304,0.2539,0.3081,0.02629,,0.0538,2.595,7.495,0.75
2025-09-10 13:00:00,,6.973,,,,0.761,,1.407,0.4738,8.15,0.01605,0.00859,0.01566,0.000774,,0.02068,0.08703,,0.0798,,0.0655,0.003054,0.2547,0.3115,0.02656,,0.054,2.615,7.561,0.76
2025-09-10 14:00:00,,6.987,,,,0.7649,,1.407,0.4759,8.18,0.01614,0.00865,0.01565,0.000777,,0.02077,0.08679,,0.0803,,0.0654,0.003054,0.256,0.3119,0.02665,,0.0541,2.614,7.571,0.764
2025-09-10 15:00:00,,6.967,,,,0.7647,,1.405,0.4755,8.17,0.01616,0.00863,0.01565,0.000778,,0.02067,0.0868,,0.0825,,0.0655,0.003052,0.2548,0.3126,0.0266,,0.054,2.621,7.549,0.762
2025-09-10 16:00:00,,6.983,,,,0.7584,,1.404,0.4747,8.17,0.01609,0.0086,0.0156,0.000773,,0.02066,0.08663,,0.0814,,0.0652,0.003047,0.2562,0.3131,0.0267,,0.0541,2.619,7.546,0.762
2025-09-10 17:00:00,,6.983,,,,0.7579,,1.408,0.4754,8.17,0.01607,0.00859,0.01561,0.000775,,0.02064,0.08639,,0.081,,0.0644,0.003054,0.256,0.3122,0.02671,,0.054,2.615,7.539,0.764
2025-09-10 18:00:00,,6.974,,,,0.752,,1.402,0.4737,8.16,0.01598,0.00859,0.01553,0.000772,,0.02064,0.08605,,0.0809,,0.0648,0.003043,0.2557,0.3111,0.02666,,0.0539,2.607,7.51,0.76
