Pair,CointP,ADF_spread_p,BetaOLS,Jumps,Obs
UMAUSDT/DATAUSDT,0.024372343166723945,0.005691171552139242,0.5918873550839606,11,8761
OGNUSDT/QTUMUSDT,0.02483224795502284,0.005853620696539158,1.2827866029743298,61,8761
DATAUSDT/CELOUSDT,0.029157610848088832,0.007055236984148867,1.4023043472963264,62,8761
SCUSDT/BANDUSDT,0.0314332167271185,0.007705597332030807,0.901711308974059,54,8761
MLNUSDT/SCUSDT,0.03248560958890111,0.008011860094024305,0.9861330273050303,57,8761
STMXUSDT/DATAUSDT,0.03660305661482935,0.00904517370898079,0.5389318397426268,8,1779
OXTUSDT/BANDUSDT,0.03881987543610234,0.00982281873823204,1.0245963179219926,82,8761
MLNUSDT/QTUMUSDT,0.039410201176353375,0.010066861460528338,1.4142239712433198,46,8761
STMXUSDT/ANKRUSDT,0.0394105126254605,0.010082008441966024,0.712301932362539,14,1779
OGNUSDT/OXTUSDT,0.040068972838757766,0.010230768307115579,0.7340964042586259,8,8761
UMAUSDT/SFPUSDT,0.04094392988502791,0.010402380712338856,1.2818745948303705,131,8761
UMAUSDT/QTUMUSDT,0.042085644510863406,0.010865675334803673,1.3620960610064563,5,8761
CELOUSDT/OXTUSDT,0.04349205588346151,0.011227774118755262,0.8599719646827764,43,8761
PONDUSDT/SCUSDT,0.043587647261372243,0.011341380646425956,1.2139670784035004,85,8761
